Town Name,Center Latitude,Center Longitude,Total Population,Number of Births,Resident Births,Resident Birth Rate,District Type,Eligible for Free Lunch,Estimated 3-4 Year Olds In Poverty,Per Capita Income,Town Wealth,Town Wealth Rank
Andover,41.74,-72.37,3209,85,41,12.8,2,0.03,2.55,30273,129778.01,56
Ansonia,41.35,-73.08,18744,526,237,12.6,1,0.48,252.48,20504,73535.32,11
Ashford,41.87,-72.12,4416,83,44,10,2,0.13,10.79,26104,93862.01,24
Avon,41.81,-72.83,17209,325,154,8.9,0,0.02,6.5,51706,349844.81,143
Barkhamsted,41.93,-72.92,3711,88,41,11,0,0.07,6.16,28961,154936.2,73
BeaconFalls,41.44,-73.06,5596,124,68,12.2,0,0.1,12.4,25285,124391.16,47
Berlin,41.62,-72.75,19590,385,192,9.8,0,0.05,19.25,27744,186167.96,98
Bethany,41.42,-73,5473,97,46,8.4,0,0.05,4.85,31403,192446.28,102
Bethel,41.37,-73.41,18760,455,189,10.1,0,0.06,27.3,28927,201296.09,105
Bethlehem,41.64,-73.21,3596,50,26,7.2,0,0.04,2,29672,221196.96,114
Bloomfield,41.83,-72.73,20581,349,167,8.1,1,0.41,143.09,28843,175040.4,91
Bolton,41.77,-72.43,5170,96,38,7.4,0,0.03,2.88,29205,146646.52,65
Bozrah,41.55,-72.17,2445,45,16,6.5,0,0.16,7.2,26569,162721.25,79
Branford,41.28,-72.82,29089,549,235,8.1,2,0.12,65.88,32301,273856.62,130
Bridgeport,41.17,-73.21,139008,4540,2341,16.8,1,0.9,4086,16306,42948.08,5
Bridgewater,41.54,-73.37,1898,18,15,7.9,0,0.02,0.36,42505,643879.2,159
Bristol,41.67,-72.95,61353,1431,797,13,1,0.31,443.61,23362,95436.03,25
Brookfield,41.48,-73.41,16354,326,165,10.1,0,0.03,9.78,37063,310184.6,139
Brooklyn,41.79,-71.95,7711,157,93,12.1,2,0.16,25.12,20359,78890.75,13
Burlington,41.77,-72.96,9097,231,109,12,0,0.03,6.93,36173,178067.23,93
Canaan,42.03,-73.33,1101,25,17,15.4,0,0.06,1.5,35841,293788.05,137
Canterbury,41.7,-71.97,5060,122,48,9.5,2,0.13,15.86,22317,101254.75,31
Canton,41.82,-72.89,9932,200,93,9.4,0,0.04,8,33151,181017.03,96
Chaplin,41.79,-72.13,2472,37,24,9.7,2,0.19,7.03,22101,97105.64,29
Cheshire,41.5,-72.9,29097,534,252,8.7,0,0.03,16.02,33903,204467.08,108
Chester,41.4,-72.45,3832,84,29,7.6,0,0.04,3.36,32191,259028.19,125
Clinton,41.28,-72.53,13612,331,165,12.1,0,0.09,29.79,26080,205463.59,109
Colchester,41.58,-72.33,15389,404,190,12.3,2,0.05,20.2,27038,108217.27,34
Colebrook,41.99,-73.1,1540,21,8,5.2,0,0.08,1.68,29789,208104.48,111
Columbia,41.7,-72.3,5336,102,57,10.7,0,0.06,6.12,29446,170968.1,87
Cornwall,41.84,-73.33,1489,22,11,7.4,0,0.01,0.22,42484,596975.86,157
Coventry,41.77,-72.31,12190,283,144,11.8,2,0.11,31.13,27143,120780,43
Cromwell,41.59,-72.65,13594,268,148,10.9,0,0.09,24.12,29786,173600.46,89
Danbury,41.39,-73.45,78736,2318,1165,14.8,1,0.34,788.12,24500,167807.83,85
Darien,41.08,-73.47,20452,614,299,14.6,0,0.02,12.28,77519,1276224.12,167
DeepRiver,41.39,-72.44,4714,99,51,10.8,0,0.11,10.89,32604,225502.25,116
Derby,41.32,-73.09,12536,281,152,12.1,2,0.4,112.4,23117,126753.15,52
Durham,41.48,-72.68,7266,142,61,8.4,0,0.04,5.68,29306,179162.45,95
EastGranby,41.94,-72.73,5058,64,60,11.9,0,0.01,0.64,30805,185409.36,97
EastHaddam,41.45,-72.46,8808,168,95,10.8,0,0.08,13.44,28112,173913.4,90
EastHampton,41.58,-72.5,12194,261,139,11.4,0,0.08,20.88,22769,134144.04,60
EastHartford,41.78,-72.61,49173,791,723,14.7,1,0.46,363.86,21763,76065.86,12
EastHaven,41.28,-72.87,28755,1003,306,10.6,2,0.26,260.78,22396,115649.15,39
EastLyme,41.37,-72.23,18459,443,130,7,0,0.05,22.15,28765,216338.83,113
EastWindsor,41.91,-72.61,10447,273,106,10.1,0,0.19,51.87,24899,135845.9,62
Eastford,41.9,-72.08,1761,82,16,9.1,2,0,0.82,25364,124655.19,48
Easton,41.25,-73.3,7488,211,95,12.7,0,0.01,2.11,53885,585950.85,156
Ellington,41.9,-72.47,14217,308,141,9.9,0,0.05,15.4,27766,126945.88,53
Enfield,41.97,-72.59,45441,900,456,10,2,0.18,162,21967,107637.2,33
Essex,41.35,-72.39,6783,129,56,8.3,0,0.05,6.45,42806,429987.73,148
Fairfield,41.14,-73.26,57813,1437,698,12.1,0,0.05,71.85,43670,507789.86,153
Farmington,41.72,-72.83,24941,442,218,8.7,0,0.05,22.1,39102,276339.21,132
Franklin,41.61,-72.15,1916,32,18,9.4,0,0.08,2.56,25477,165627.35,83
Glastonbury,41.71,-72.61,33089,718,326,9.9,0,0.04,28.72,40820,225236.9,115
Goshen,41.83,-73.22,3092,43,17,5.5,0,0.08,3.44,33925,361620.7,144
Granby,41.95,-72.79,11088,223,103,9.3,0,0.02,4.46,33863,164202.91,81
